Wr Wrk Inst,Institution,Usage Source,Number of Copies,Number of Pages,Comment,Line,Error Reason
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,395,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,396,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,397,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,398,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,399,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,400,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,401,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,402,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,403,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,404,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,405,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,406,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,407,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,408,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,409,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,410,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,411,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,412,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,413,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,414,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,415,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,416,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,417,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,418,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,419,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,CORNELL UNIVERSITY,,10,14,,420,Row is incorrect: Expected columns count is 6 actual 11
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,421,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,422,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,423,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,424,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,425,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,426,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,427,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,428,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,429,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,430,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,431,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,432,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,433,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,434,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,435,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,436,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,437,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,438,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,439,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,440,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,441,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,442,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,443,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,444,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,445,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,446,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,447,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,448,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,449,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,450,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,451,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,452,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,453,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,454,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,455,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,456,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,457,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,458,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,459,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,460,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,461,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,462,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,463,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,464,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,465,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,466,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,CORNELL UNIVERSITY,,10,14,,467,Row is incorrect: Expected columns count is 6 actual 11
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,468,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,469,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,470,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,471,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,472,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,473,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,474,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,475,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,476,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,477,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,478,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,479,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,480,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,481,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,482,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,483,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,484,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,485,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,486,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,487,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,488,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,489,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,490,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,491,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,492,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,493,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,494,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,495,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,496,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,497,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,498,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,499,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,500,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,501,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,502,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,503,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,504,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,505,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,506,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,507,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,508,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,509,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,510,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,511,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,512,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,513,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,CORNELL UNIVERSITY,,10,14,,514,Row is incorrect: Expected columns count is 6 actual 11
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,515,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,516,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,517,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,518,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,519,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,520,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,521,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,522,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,523,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,524,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,525,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,526,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,527,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,528,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,529,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,530,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,531,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,532,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,533,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,534,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,535,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,536,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,537,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,538,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,539,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,540,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,541,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,542,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,543,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,544,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,545,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,546,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,547,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,548,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,549,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,550,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,551,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,552,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,553,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,554,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,555,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,556,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,557,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,558,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,559,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,560,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,CORNELL UNIVERSITY,,10,14,,561,Row is incorrect: Expected columns count is 6 actual 11
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,562,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,563,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,564,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,565,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,566,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,567,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,568,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,569,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,570,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,571,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,572,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,573,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,574,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,575,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,576,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,577,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,578,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,579,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,580,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,581,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,582,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,583,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,584,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,585,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,586,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,587,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,588,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,589,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,590,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,591,Wr Wrk Inst: Field is required and cannot be null or empty
