Coverage Period,License Type,Reported Grade,Wr Wrk Inst,Reported Work Title,Reported Standard Number or Image ID Number,Reported Article or Chapter Title,Reported Author,Reported Publisher,Reported Publication Date,Reported Media Type,Comment,Line,Error Reason
,,,,,,,,,,,,133,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,134,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,135,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,136,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,137,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,138,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,139,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,140,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,141,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,142,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,143,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,144,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,145,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,146,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,147,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,148,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,149,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,150,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,151,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,152,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,153,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,154,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,155,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,156,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,157,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,158,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,159,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,160,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,161,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,162,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,163,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,164,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,165,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,166,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,167,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,168,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,169,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,170,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,171,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,172,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,173,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,174,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,175,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,176,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,177,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,178,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,179,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,180,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,181,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,182,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,183,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,184,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,185,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,186,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,187,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,188,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,189,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,190,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,191,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,192,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,193,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,194,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,195,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,196,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,197,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
,,,,,,,,,,,,198,"Coverage Period: Field is required and cannot be null or empty; License Type: Field is required and cannot be null or empty; License Type: Field value should be any of: [CURR_REPUB_K12, CURR_REPUB_HE, CURR_REUSE_K12, CURR_SHARE_K12]; Reported Grade: Field is required and cannot be null or empty; Reported Grade: Field value should be any of: K, 1-12, HE; Wr Wrk Inst: Field is required and cannot be null or empty; Reported Media Type: Field is required and cannot be null or empty"
